college_url,nba_url,name,college_position,college,college_height,college_weight,Year,BAMScore,Year2,BAMScore2,college_G,college_GS,college_MP,college_FG,college_FGA,college_FG%,college_2P,college_2PA,college_2P%,college_3P,college_3PA,college_3P%,college_FT,college_FTA,college_FT%,college_ORB,college_DRB,college_TRB,college_AST,college_STL,college_BLK,college_TOV,college_PF,college_PTS,college_SOS,NBA_position,NBA_height,NBA_weight,NBA_G,NBA_GS,NBA_MP,NBA_FG,NBA_FGA,NBA_FG%,NBA_2P,NBA_2PA,NBA_2P%,NBA_3P,NBA_3PA,NBA_3P%,NBA_FT,NBA_FTA,NBA_FT%,NBA_ORB,NBA_DRB,NBA_TRB,NBA_AST,NBA_STL,NBA_BLK,NBA_TOV,NBA_PF,NBA_PTS
https://www.sports-reference.com/cbb/players/fab-melo-1.html,https://www.basketball-reference.com/players/m/melofa01.html,Fab Melo,Center,Syracuse,7-0,244,2012,1962,,,63,54,17.3,2.1,3.6,0.576,2.1,3.6,0.576,0,0,,0.7,1.3,0.553,1.6,2.2,3.8,0.5,0.4,1.8,1.1,2.3,4.9,8.4,Center,7-0,255,6,0,6,0.5,1,0.5,0.5,1,0.5,0,0,,0.2,0.7,0.25,0,0.5,0.5,0,0.3,0.3,0.2,1.2,1.2
https://www.sports-reference.com/cbb/players/jerel-mcneal-1.html,https://www.basketball-reference.com/players/m/mcneaje01.html,Jerel McNeal,Guard,Marquette,6-3,200,2009,2226,,,130,130,30.9,5.6,12.7,0.44,4.3,9,0.478,1.3,3.6,0.347,2.8,4,0.717,1.3,3.3,4.7,3.5,2.2,0.5,3.4,2.9,15.3,7.77,Point Guard,6-3,200,6,0,6,0.5,1.8,0.273,0.3,1.5,0.222,0.2,0.3,0.5,0.3,0.3,1,0,0.5,0.5,0.3,0.5,0.2,0.8,0.8,1.5
https://www.sports-reference.com/cbb/players/adonis-thomas-1.html,https://www.basketball-reference.com/players/t/thomaad01.html,Adonis Thomas,Forward,Memphis,6-7,240,2013,2152,,,55,44,27.5,4.1,9.5,0.426,3.3,7.2,0.458,0.7,2.3,0.325,1.9,2.5,0.745,1.3,2.8,4,1.5,0.6,0.7,1.5,1.4,10.7,3.98,Small Forward,6-7,200,6,1,6.2,1,2.3,0.429,0.8,1.5,0.556,0.2,0.8,0.2,0.2,0.2,1,0,0.5,0.5,0.5,0,0,0.2,1,2.3
https://www.sports-reference.com/cbb/players/chinanu-onuaku-1.html,https://www.basketball-reference.com/players/o/onuakch01.html,Chinanu Onuaku,Forward,Louisville,6-10,230,2016,1967,,,66,55,21,2.8,4.5,0.619,2.8,4.4,0.621,0,0,,0.7,1.3,0.547,2.4,4,6.4,1.1,0.8,1.6,1.7,2.7,6.2,8.36,Center,6-10,245,6,1,12.3,1.2,2,0.583,1.2,2,0.583,0,0,,0.7,0.7,1,0.5,1.8,2.3,0.7,0.5,0.2,1.2,1.7,3
https://www.sports-reference.com/cbb/players/darius-johnson-odom-1.html,https://www.basketball-reference.com/players/j/johnsda03.html,Darius Johnson-Odom,Guard,Marquette,6-2,215,2012,2274,,,105,90,30.8,5.3,12,0.444,3.2,6.7,0.476,2.1,5.2,0.403,3,4.1,0.722,0.5,2.5,3.1,2.5,0.9,0.2,2.1,2.3,15.7,8.08,Shooting Guard,6-2,215,7,0,3,0,1.6,0,0,1,0,0,0.6,0,0,0.3,0,0.1,0.7,0.9,0.3,0.1,0,0.3,0.4,0
https://www.sports-reference.com/cbb/players/diamond-stone-1.html,https://www.basketball-reference.com/players/s/stonedi01.html,Diamond Stone,Center,Maryland,6-11,255,2016,1955,,,35,22,23.1,4.8,8.4,0.568,4.8,8.4,0.568,0,0,,2.9,3.8,0.761,2.2,3.2,5.4,0.4,0.5,1.6,1.5,2.3,12.5,8.31,Center,6-11,255,7,0,3.4,0.4,1.9,0.231,0.4,1.9,0.231,0,0,,0.6,0.6,1,0.1,0.7,0.9,0,0,0.1,0.3,0.7,1.4
https://www.sports-reference.com/cbb/players/kostas-antetokounmpo-1.html,https://www.basketball-reference.com/players/a/antetko01.html,Kostas Antetokounmpo,Forward,Dayton,6-10,190,2018,2003,,,29,6,15.1,2,3.5,0.574,1.9,3,0.651,0.1,0.5,0.133,1.1,2.2,0.516,0.8,2,2.9,0.4,0.2,1.1,1.3,2.3,5.2,2.7,Power Forward,6-10,200,7,0,4.4,0.4,0.9,0.5,0.4,0.9,0.5,0,0,,0.4,0.9,0.5,0.3,0.3,0.6,0.3,0.3,0,0.3,0.3,1.3
https://www.sports-reference.com/cbb/players/carrick-felix-1.html,https://www.basketball-reference.com/players/f/felixca01.html,Carrick Felix,Guard,Arizona State,6-6,197,2013,2166,,,94,69,27.9,3.6,8,0.456,2.6,4.7,0.545,1.1,3.2,0.326,1.9,2.6,0.704,1.3,3.5,4.8,1.3,1,0.8,1.7,2.4,10.2,5.37,Shooting Guard,6-6,201,7,0,5.4,1,2,0.5,0.7,1.3,0.556,0.3,0.7,0.4,0.4,0.6,0.75,0.1,0.7,0.9,0.6,0,0,0.6,0.6,2.7
https://www.sports-reference.com/cbb/players/grant-jerrett-1.html,https://www.basketball-reference.com/players/j/jerregr01.html,Grant Jerrett,Forward,Arizona,6-10,235,2013,2019,,,34,2,17.8,1.9,4.5,0.409,0.9,2.2,0.413,0.9,2.3,0.405,0.5,0.6,0.818,1.1,2.5,3.6,0.5,0.5,1,0.6,1.3,5.2,7.47,Power Forward,6-10,235,8,0,6.4,0.9,3.3,0.269,0.8,1.4,0.545,0.1,1.9,0.067,0.1,0.1,1,0.3,0.9,1.1,0.4,0.3,0.3,0.4,1.4,2
https://www.sports-reference.com/cbb/players/devin-robinson-1.html,https://www.basketball-reference.com/players/r/robinde01.html,Devin Robinson,Forward,Florida,6-8,178,2017,2004,,,105,71,23,3.2,7.1,0.45,2.2,4.2,0.527,1,2.8,0.336,1.6,2.2,0.714,1.4,3.4,4.9,0.6,0.6,0.6,0.9,2.1,8.9,9.96,Small Forward,6-8,200,8,0,13.5,2.5,4.4,0.571,2.5,4.1,0.606,0,0.3,0,1.1,1.8,0.643,1,2.1,3.1,0.8,0.6,0.8,0.3,1.6,6.1
