url,name,position,college,height,weight,Year,BAMScore,Year2,BAMScore2
https://www.sports-reference.com/cbb/players/jamel-artis-1.html,Jamel Artis,Forward,Pitt,6-7,220lb,2017,2000,,
https://www.sports-reference.com/cbb/players/omari-spellman-1.html,Omari Spellman,Forward,Villanova,6-9,260lb,2018,2001,,
https://www.sports-reference.com/cbb/players/jabari-brown-1.html,Jabari Brown,Guard,Oregon and Missouri,6-5,214lb,2014,2002,,
https://www.sports-reference.com/cbb/players/kostas-antetokounmpo-1.html,Kostas Antetokounmpo,Forward,Dayton,6-10,190lb,2018,2003,,
https://www.sports-reference.com/cbb/players/devin-robinson-1.html,Devin Robinson,Forward,Florida,6-8,178lb,2017,2004,,
https://www.sports-reference.com/cbb/players/kelly-olynyk-1.html,Kelly Olynyk,Forward,Gonzaga,7-0,238lb,2013,2004,,
https://www.sports-reference.com/cbb/players/robbie-hummel-1.html,Robbie Hummel,Forward,Purdue,6-8,215lb,2012,2005,,
https://www.sports-reference.com/cbb/players/will-barton-1.html,Will Barton,Guard,Memphis,6-6,175lb,2012,2008,,
https://www.sports-reference.com/cbb/players/jontay-porter-1.html,Jontay Porter,Forward,Missouri,6-11,240lb,2018,2009,,
https://www.sports-reference.com/cbb/players/cory-jefferson-1.html,Cory Jefferson,Forward,Baylor,6-9,220lb,2014,2010,,
https://www.sports-reference.com/cbb/players/rakeem-christmas-1.html,Rakeem Christmas,Forward,Syracuse,6-9,250lb,2015,2010,,
https://www.sports-reference.com/cbb/players/isaiah-austin-1.html,Isaiah Austin,Center,Baylor,7-1,225lb,2014,2013,,
https://www.sports-reference.com/cbb/players/monte-morris-1.html,Monte Morris,Guard,Iowa State,6-2,170lb,2017,2013,,
https://www.sports-reference.com/cbb/players/alec-brown-1.html,Alec Brown,Forward,Green Bay,7-1,235lb,2014,2014,,
https://www.sports-reference.com/cbb/players/isaiah-miles-1.html,Isaiah Miles,Forward,St. Joseph's,6-7,225lb,2016,2014,,
https://www.sports-reference.com/cbb/players/khris-middleton-1.html,Khris Middleton,Forward,Texas A&M,6-7,217lb,2012,2014,,
https://www.sports-reference.com/cbb/players/nigel-hayes-1.html,Nigel Hayes,Forward,Wisconsin,6-8,235lb,2016,2016,2017,2077
https://www.sports-reference.com/cbb/players/grant-jerrett-1.html,Grant Jerrett,Forward,Arizona,6-10,235lb,2013,2019,,
https://www.sports-reference.com/cbb/players/colton-iverson-1.html,Colton Iverson,Forward,Minnesota and Colorado State,6-10,261lb,2013,2020,,
https://www.sports-reference.com/cbb/players/john-henson-1.html,John Henson,Forward,UNC,6-11,220lb,2012,2020,,
https://www.sports-reference.com/cbb/players/aj-english-1.html,A.J. English,Guard,Iona,6-4,190lb,2016,2024,,
https://www.sports-reference.com/cbb/players/lorenzo-brown-1.html,Lorenzo Brown,Guard,NC State,6-5,186lb,2013,2026,,
https://www.sports-reference.com/cbb/players/dejuan-blair-1.html,DeJuan Blair,Forward,Pitt,6-7,265lb,2009,2028,,
https://www.sports-reference.com/cbb/players/delon-wright-1.html,Delon Wright,Guard,Utah,6-5,178lb,2015,2028,,
https://www.sports-reference.com/cbb/players/troy-brown-5.html,Troy Brown,Forward,Oregon,6-7,215lb,2018,2028,,
